year,month,monthly anomaly,monthly unc.,annual anomaly,annual unc.,five-year anomaly,five-year unc.,ten-year anomaly,ten-year unc.,twenty-year anomaly,twenty-year unc.
1860.2,-0.429,0.330,-0.441,0.142,-0.495,0.109,-0.489,0.097,-0.421,0.078
1860.3,-0.823,0.291,-0.406,0.147,-0.497,0.111,-0.490,0.097,-0.421,0.078
1860.4,-0.449,0.216,-0.400,0.145,-0.498,0.113,-0.494,0.096,-0.420,0.078
1860.5,-0.340,0.282,-0.423,0.152,-0.500,0.114,-0.495,0.096,-0.418,0.078
1860.6,-0.318,0.204,-0.481,0.153,-0.512,0.113,-0.495,0.096,-0.417,0.078
1860.7,-0.276,0.207,-0.541,0.154,-0.510,0.113,-0.494,0.097,-0.416,0.078
1860.8,-0.197,0.252,-0.573,0.152,-0.504,0.115,-0.493,0.098,-0.417,0.079
1860.9,-0.288,0.239,-0.564,0.150,-0.505,0.116,-0.491,0.099,-0.416,0.079
1860.10,-0.329,0.222,-0.566,0.151,-0.504,0.118,-0.490,0.099,-0.415,0.079
1860.11,-0.631,0.229,-0.579,0.154,-0.499,0.118,-0.489,0.100,-0.413,0.079
1860.12,-1.011,0.289,-0.587,0.150,-0.499,0.118,-0.488,0.100,-0.413,0.079
1861.1,-1.163,0.354,-0.593,0.148,-0.498,0.119,-0.487,0.100,-0.415,0.079
1861.2,-0.812,0.292,-0.596,0.142,-0.498,0.118,-0.486,0.100,-0.415,0.079
1861.3,-0.716,0.271,-0.609,0.136,-0.499,0.118,-0.486,0.101,-0.413,0.079
1861.4,-0.476,0.306,-0.628,0.134,-0.502,0.119,-0.488,0.101,-0.411,0.080
1861.5,-0.494,0.210,-0.602,0.140,-0.505,0.119,-0.489,0.102,-0.411,0.080
1861.6,-0.418,0.257,-0.559,0.155,-0.503,0.120,-0.489,0.103,-0.410,0.080
1861.7,-0.345,0.203,-0.539,0.164,-0.507,0.121,-0.486,0.104,-0.410,0.080
1861.8,-0.235,0.205,-0.533,0.164,-0.507,0.118,-0.483,0.104,-0.410,0.080
1861.9,-0.437,0.201,-0.515,0.164,-0.509,0.118,-0.480,0.105,-0.410,0.080
1861.10,-0.560,0.211,-0.526,0.167,-0.515,0.118,-0.477,0.105,-0.410,0.080
1861.11,-0.324,0.286,-0.513,0.174,-0.516,0.119,-0.474,0.106,-0.411,0.080
1861.12,-0.487,0.376,-0.511,0.173,-0.514,0.119,-0.470,0.106,-0.412,0.080
1862.1,-0.932,0.439,-0.520,0.173,-0.512,0.119,-0.467,0.106,-0.412,0.080
1862.2,-0.737,0.296,-0.547,0.172,-0.510,0.120,-0.466,0.106,-0.412,0.080
1862.3,-0.496,0.261,-0.567,0.178,-0.507,0.121,-0.465,0.107,-0.410,0.080
